date,ppi,cpi
1986-01-01,85.2,101.2
1986-02-01,76.5,97.4
1986-03-01,67.3,90.9
1986-04-01,62.9,86.2
1986-05-01,64.9,87.6
1986-06-01,65.2,90.7
1986-07-01,56.1,87.3
1986-08-01,55.4,85.5
1986-09-01,57.3,85.9
1986-10-01,54.9,83.1
1986-11-01,55.1,81.4
1986-12-01,55.2,81.6
1987-01-01,58,83.9
1987-02-01,59.5,85.6
1987-03-01,60.2,85.8
1987-04-01,61.7,86.4
1987-05-01,61.6,87.4
1987-06-01,62.5,90.7
1987-07-01,63.4,91.1
1987-08-01,64.9,92.7
1987-09-01,63.4,92.3
1987-10-01,62.4,89.8
1987-11-01,62.5,89
1987-12-01,61.4,88.3
1988-01-01,59.2,87.4
1988-02-01,58.5,87
1988-03-01,58.2,86.5
1988-04-01,60.9,87.3
1988-05-01,61.6,88.7
1988-06-01,60.3,91
1988-07-01,61.3,91.4
1988-08-01,61.1,92.3
1988-09-01,58.8,91.9
1988-10-01,58.7,89.9
1988-11-01,60,88.9
1988-12-01,59.2,88.7
1989-01-01,60.8,89
1989-02-01,61.8,89.3
1989-03-01,62.3,89.8
1989-04-01,68.4,94.9
1989-05-01,71.8,97.4
1989-06-01,70.2,99
1989-07-01,68.4,98.5
1989-08-01,63.6,97
1989-09-01,65.9,95.9
1989-10-01,65.8,94.6
1989-11-01,64.6,93.2
1989-12-01,64.8,93.2
1990-01-01,72.7,97.6
1990-02-01,69.2,96.4
1990-03-01,67,95.5
1990-04-01,68,95.7
1990-05-01,68.5,96.7
1990-06-01,67.6,99.5
1990-07-01,68.1,98.9
1990-08-01,74.2,103.6
1990-09-01,82,108.8
1990-10-01,88.1,111.4
1990-11-01,89.5,110.9
1990-12-01,84.7,110.1
1991-01-01,82.6,107.1
1991-02-01,78.4,102.8
1991-03-01,75.5,99.7
1991-04-01,75.7,99.5
1991-05-01,78,102.1
1991-06-01,78.4,103.5
1991-07-01,77.5,102.7
1991-08-01,78.8,102.9
1991-09-01,79.1,103.6
1991-10-01,78.3,101.8
1991-11-01,78.1,101.8
1991-12-01,76.6,101.9
1992-01-01,74.3,100.1
1992-02-01,74.3,99
1992-03-01,74.4,98.9
1992-04-01,75.4,99.5
1992-05-01,77.8,102.4
1992-06-01,81,105.9
1992-07-01,80.4,106
1992-08-01,80.2,105.4
1992-09-01,80.8,105.9
1992-10-01,80,104.5
1992-11-01,78.4,104.5
1992-12-01,76.4,103.9
1993-01-01,76.6,103.4
1993-02-01,76.9,102.2
1993-03-01,77.5,102.5
1993-04-01,78.3,103.1
